Placa;Renavam;Status;Nome Empresa;Nome Consórcio;Número Célula;Número Ordem;Cor;Tipo Veículo;Tipo Cadastro;Padrão Veículo;Tipo Pneu;Padrão Serviço;Número Chassi;Ano Chassi;Modelo Chassi;Modelo Carroceria;Ano Carroceria;Potência Motor;Localização Motor;Tipo Câmbio;Tipo Suspensão;Largura Porta Dianteira Esquerda;Largura Porta Dianteira Direita;Largura Porta Central Esquerda;Largura Porta Central Direita;Largura Porta Traseira Esquerda;Largura Porta Traseira Direita;Quantidade Assentos;Peso Veiculo;Capacidade Tanque1;Capacidade Tanque2;Largura Antes Roleta;Largura Apos Roleta;Comprimento Antes Roleta;Comprimento Apos Roleta;Largura Area Deficientes;Comprimento Area Deficientes;Quantidade Portas Esquerda;Quantidade Portas Direita;Quantidade de Elevador;Quantidade de Wifi;Quantidade de Ar condicionado;Quantidade de TV;Quantidade de GPS;Quantidade de Câmera;Quantidade de Validadores;Quantidade de Roleta eletronica;Quantidade de Suporte de bicicleta
HAE6354;00341719749;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69836;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BVT5T52XBE400139;2011;Volvo b270f euro v;Mascarello gran via;2011;260;Dianteiro;Manual;Molas;0;110;0;0;0;110;43;17000;210;;60;65;100;822;80;120;0;2;1;1;0;0;0;3;1;1;0
HBG5696;00856787167;Baixado;RIT: 2 - Célula: 4 - VIAÇÃO BELO MONTE TRANSPORTES COLETIVOS SA;UNIMINAS;4;07104;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BWRP82W85R521043;2005;Volkswagen 17.210eod;Ciferal citmax u;2005;206;Dianteiro;Manual;Molas;;100;;0;;100;43;16000;300;;65;65;170;680;80;100;0;2;0;0;0;0;0;3;1;1;0
HGJ7438;00940761939;Baixado;RIT: 2 - Célula: 2 - EMPRESA SÃO GONÇALO LTDA;UNIMINAS;2;10195;Azul;Leve;Metropolitano;Midi;;Comercial;9BM3840678B558217;2007;Mbb of1418;Neobus spectrum city;2008;177;Dianteiro;Manual;Molas;;70;;0;;110;37;14000;210;;90;55;100;700;78;86;0;2;1;0;0;0;0;4;1;1;0
GVJ2753;00853705925;Baixado;RIT: 5 - Célula: 6 - TURILESSA LTDA;LINHA VERDE;6;25039;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM3840785B424088;2005;Mbb of1722m;Busscar urbanus;2005;218;Traseiro;Manual;Molas;;70;;0;;110;42;17000;300;;65;65;150;700;90;100;0;2;0;0;0;0;0;0;0;1;0
QPJ1694;01168465734;Baixado;RIT: 5 - Célula: 3 - GÁVEA TRANSPORTES E EMPREENDIMENTOS LTDA;LINHA VERDE;3;29343;Vermelho;Microonibus;Metropolitano;Mini;;Convencional;9532M62P6KR911888;2018;Volkswagen 9.150od;Neobus thunder;2019;160;Dianteiro;Manual;Molas;0;102;0;0;0;82;23;6700;150;0;200;100;200;423;75;120;0;2;1;0;0;0;0;4;1;1;0
GXM4593;00716698641;Baixado;RIT: 5 - Célula: 6 - TURILESSA LTDA;LINHA VERDE;6;25040;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384073WB182024;1998;Mbb of1721 euro v;Busscar urbanus;1998;211;Dianteiro;Manual;Molas;;70;;0;;70;48;17000;300;;70;70;120;700;90;110;0;2;0;0;0;0;0;0;0;1;0
QPJ1659;01168463502;Baixado;RIT: 5 - Célula: 3 - GÁVEA TRANSPORTES E EMPREENDIMENTOS LTDA;LINHA VERDE;3;29345;Vermelho;Microonibus;Metropolitano;Mini;;Convencional;9532M62P7KR911897;2018;Volkswagen 9.150od;Neobus thunder;2019;160;Dianteiro;Manual;Molas;0;102;0;0;0;82;23;6700;150;0;200;100;200;423;75;120;0;2;1;0;0;0;0;4;1;1;0
HKH0683;00325736286;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69809;Verde;Medio;Metropolitano;Medio;;Comercial executivo;9BYC51A1ABC001237;2011;Agrale ma15.0 euro v;Comil versatile r;2011;185;Dianteiro;Manual;Molas;0;110;0;0;0;110;41;15000;200;;60;65;100;521;80;120;0;2;0;0;1;0;0;4;1;1;0
QPJ1685;01168465297;Baixado;RIT: 5 - Célula: 3 - GÁVEA TRANSPORTES E EMPREENDIMENTOS LTDA;LINHA VERDE;3;29346;Vermelho;Microonibus;Metropolitano;Mini;;Convencional;9532M62P8KR911441;2018;Volkswagen 9.150od;Neobus thunder;2019;160;Dianteiro;Manual;Molas;0;102;0;0;0;82;23;6700;150;0;200;100;200;423;75;120;0;2;1;0;0;0;0;4;1;1;0
HKH0684;00032846952;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69810;Verde;Medio;Metropolitano;Medio;;Comercial executivo;9BYC51A1ABC001239;2011;Agrale ma15.0 euro v;Comil versatile r;2011;185;Dianteiro;Manual;Molas;0;100;0;0;0;0;40;15000;200;0;60;65;100;521;0;0;0;1;0;0;0;0;0;3;1;1;0
GXH9785;00988479460;Baixado;RIT: 6 - Célula: 1 - SARITUR - SANTA RITA TRANSPORTE URBANO E RODOVIÁRIO LTDA.;ESMERALDAS NEVES;1;90378;Vermelho;Pesado;Metropolitano;Padron;;Convencional;9bwrrl82w98r85344;2008;Volkswagen 17.230eod;Marcopolo torino u;2008;225;Dianteiro;Manual;Molas;0;110;0;110;0;110;38;17000;280;0;60;65;100;822;80;120;0;3;0;0;0;0;0;4;1;1;0
HKH0682;00325735590;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69811;Verde;Medio;Metropolitano;Medio;;Comercial executivo;9BYC51A1ABC001238;2011;Agrale ma15.0 euro v;Comil versatile r;2011;185;Dianteiro;Manual;Molas;0;110;0;0;0;0;40;15000;200;;60;65;100;521;80;120;0;1;0;0;0;0;0;4;1;1;0
QPP2855;01171543040;Aprovado;RIT: 4 - Célula: 1 - TERRITORIAL TRANSPORTES E EMPREENDIMENTOS LTDA;ESTRADA REAL;1;30609;Vermelho;Pesado;Metropolitano;Medio;;Comercial;9BM384067KB102308;2018;Mbb of1519 euro v;Marcopolo torino u;2019;185;Dianteiro;Manual;Molas;0;110;0;0;0;111;41;15000;300;0;85;65;100;521;80;120;0;2;1;0;0;0;0;4;1;1;0
HAE8767;00341715182;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69839;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BVT5T528BE400141;2011;Volvo b270f euro v;Mascarello gran via;2011;260;Dianteiro;Manual;Molas;0;100;0;0;0;100;42;17000;210;;60;65;100;822;80;120;0;2;1;0;0;0;0;4;1;1;0
QPP2851;01171586067;Aprovado;RIT: 4 - Célula: 1 - TERRITORIAL TRANSPORTES E EMPREENDIMENTOS LTDA;ESTRADA REAL;1;30610;Vermelho;Medio;Metropolitano;Medio;;Comercial;9BM384067KB102325;2018;Mbb of1519 euro v;Marcopolo torino u;2019;185;Dianteiro;Manual;Molas;0;80;0;0;0;105;39;17000;300;0;85;65;100;822;80;120;0;2;1;0;0;0;0;4;1;1;0
GZG8751;00807538310;Baixado;RIT: 2 - Célula: 4 - VIAÇÃO BELO MONTE TRANSPORTES COLETIVOS SA;UNIMINAS;4;07105;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BWRF82W43R307814;2003;Volkswagen 17.210od;Marcopolo torino u;2003;206;Dianteiro;Manual;Molas;;70;;0;;100;43;16000;150;;90;65;120;710;80;120;0;2;0;0;0;0;0;0;0;1;0
QPP5559;01171786490;Aprovado;RIT: 4 - Célula: 1 - TERRITORIAL TRANSPORTES E EMPREENDIMENTOS LTDA;ESTRADA REAL;1;30611;Vermelho;Medio;Metropolitano;Medio;;Comercial;9BM384067KB102343;2018;Mbb of1519 euro v;Marcopolo torino u;2019;185;Dianteiro;Manual;Molas;0;80;0;0;0;104;41;15000;300;0;85;65;100;521;80;120;0;2;1;0;0;0;0;4;1;1;0
QPP2844;01171473149;Aprovado;RIT: 4 - Célula: 1 - TERRITORIAL TRANSPORTES E EMPREENDIMENTOS LTDA;ESTRADA REAL;1;30614;Vermelho;Medio;Metropolitano;Medio;;Comercial;9BM384067KB102679;2018;Mbb of1519 euro v;Marcopolo torino u;2019;185;Dianteiro;Manual;Molas;0;80;0;0;0;104;41;15000;300;0;85;65;100;521;80;120;0;2;1;0;0;0;0;4;1;1;0
HAE9175;00341711845;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69840;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BVT5T526BE400140;2011;Volvo b270f euro v;Mascarello granmidi;2011;260;Dianteiro;Manual;Molas;0;100;0;0;0;100;42;17000;210;0;60;65;100;822;80;120;0;2;1;0;0;0;0;4;1;1;0
QPP2840;01171476334;Aprovado;RIT: 4 - Célula: 1 - TERRITORIAL TRANSPORTES E EMPREENDIMENTOS LTDA;ESTRADA REAL;1;30615;Vermelho;Medio;Metropolitano;Medio;;Comercial;9BM384067KB102683;2018;Mbb of1519 euro v;Marcopolo torino u;2019;185;Dianteiro;Manual;Molas;0;80;0;0;0;104;41;15000;300;0;85;65;100;521;80;120;0;2;1;0;0;0;0;4;1;1;0
HGJ1158;00968916678;Baixado;RIT: 5 - Célula: 4 - S&M TRANSPORTES S/A (TURILESSA);LINHA VERDE;4;25973;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM3840788B585108;2008;Mbb of1722m;Ciferal citmax u;2008;218;Dianteiro;Manual;Molas;0;94;0;0;0;96;47;17000;300;;60;65;100;822;80;120;0;2;1;0;0;0;0;4;1;1;0
QPP2831;01171486666;Aprovado;RIT: 4 - Célula: 1 - TERRITORIAL TRANSPORTES E EMPREENDIMENTOS LTDA;ESTRADA REAL;1;30616;Vermelho;Medio;Metropolitano;Medio;;Comercial;9BM384067KB102686;2018;Mbb of1519 euro v;Marcopolo torino u;2019;185;Dianteiro;Manual;Molas;0;80;0;0;1;103;41;15000;300;0;85;65;100;521;80;120;1;2;1;0;0;0;0;4;1;1;0
HCF9858;00344556670;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69841;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BVT5T525BE400145;2011;Volvo b270f euro v;Mascarello granmidi;2011;260;Dianteiro;Manual;Molas;0;95;0;0;0;100;42;17000;210;;60;65;100;822;80;120;0;2;1;0;0;0;0;3;1;1;0
QPP2862;01171479007;Aprovado;RIT: 4 - Célula: 1 - TERRITORIAL TRANSPORTES E EMPREENDIMENTOS LTDA;ESTRADA REAL;1;30617;Vermelho;Medio;Metropolitano;Medio;;Comercial;9BM384067KB102688;2018;Mbb of1519 euro v;Marcopolo torino u;2019;185;Dianteiro;Manual;Molas;0;80;0;0;0;105;41;15000;300;0;85;65;100;521;80;120;0;2;1;0;0;0;0;4;1;1;0
HBR2836;00343809311;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69842;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BVT5T529BE400147;2011;Volvo b270f euro v;Mascarello gran via;2011;260;Dianteiro;Manual;Molas;0;95;0;0;0;100;42;17000;210;;60;65;100;822;80;120;0;2;1;0;0;0;0;4;1;1;0
QPQ7208;01172739320;Aprovado;RIT: 4 - Célula: 3 - VIAÇÃO BRASÍLIA LTDA;ESTRADA REAL;3;39112;Vermelho;Medio;Metropolitano;Medio;;Comercial;9BM384067KB103221;2018;Mbb of1519 euro v;Neobus mega u;2019;185;Dianteiro;Manual;Molas;0;100;0;0;0;100;39;15000;300;0;60;65;100;521;80;120;0;2;1;0;0;0;0;4;1;1;0
HBR2817;00343823284;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69843;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BVT5T520BE400148;2011;Volvo b270f euro v;Mascarello granmidi;2011;260;Dianteiro;Automático;Molas;0;100;0;0;0;100;42;17000;210;;60;65;100;822;80;120;0;2;1;0;0;0;0;4;1;1;0
HAE6905;00341713570;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69844;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BVT5T522BE400149;2011;Volvo b270f euro v;Mascarello gran via;2011;260;Dianteiro;Automático;Molas;;95;;0;;100;42;17000;210;;60;60;145;695;80;120;0;2;1;0;0;0;0;0;0;1;0
QPJ7965;01168723806;Baixado;RIT: 4 - Célula: 1 - TERRITORIAL TRANSPORTES E EMPREENDIMENTOS LTDA;ESTRADA REAL;1;30618;Vermelho;Microonibus;Metropolitano;Mini;;Comercial;9532M62P1KR911877;2018;Volkswagen 9.160od euro v;Neobus thunder;2018;160;Dianteiro;Manual;Molas;0;110;0;0;0;83;23;9200;150;0;0;55;0;295;80;120;0;2;1;0;0;0;0;4;1;1;0
HFV1562;00360227244;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69845;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BVT5T523BE400144;2011;Volvo b270f euro v;Mascarello granmidi;2011;260;Dianteiro;Manual;Molas;0;110;0;0;0;110;42;17000;210;0;60;65;100;822;80;120;0;2;1;0;0;0;0;0;0;1;0
QPK2193;01168721560;Baixado;RIT: 4 - Célula: 1 - TERRITORIAL TRANSPORTES E EMPREENDIMENTOS LTDA;ESTRADA REAL;1;30619;Vermelho;Microonibus;Metropolitano;Mini;;Comercial;9532M62P1KR911492;2018;Volkswagen 9.160od euro v;Neobus thunder;2018;160;Dianteiro;Manual;Molas;0;110;0;0;0;83;23;9200;150;0;0;55;0;295;80;120;0;2;1;0;0;0;0;4;1;1;0
HGJ1179;00972538194;Baixado;RIT: 5 - Célula: 4 - S&M TRANSPORTES S/A (TURILESSA);LINHA VERDE;4;50079;Bege/vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM3840788B582672;2008;Mbb of1722m;Marcopolo ciferal;2008;218;Dianteiro;Manual;Molas;;100;;100;;100;41;16000;300;;60;65;170;760;80;120;0;3;0;0;0;0;0;0;0;1;0
QPJ1316;01168466110;Baixado;RIT: 4 - Célula: 1 - TERRITORIAL TRANSPORTES E EMPREENDIMENTOS LTDA;ESTRADA REAL;1;30620;Vermelho;Microonibus;Metropolitano;Mini;;Comercial;9532M62P1KR911453;2018;Volkswagen 9.160od euro v;Neobus thunder;2018;160;Dianteiro;Manual;Molas;0;110;0;0;0;83;23;9200;150;0;0;55;0;295;80;120;0;2;1;0;0;0;0;4;1;1;0
OQW9258;00581411420;Aprovado;RIT: 5 - Célula: 1 - ALCINO GONÇALVES COTTA LTDA;LINHA VERDE;1;R020;Amarela;Pesado;Metropolitano;Padron;;Comercial;9BM384078DB916104;2013;Mbb of1721 euro v;Marcopolo viaggio r;2013;208;Dianteiro;Manual;Molas;0;60;0;0;0;0;49;16000;300;0;35;0;10000;0;0;0;0;1;0;0;0;0;0;4;1;1;0
HEV4415;00352777893;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69846;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BVT5T528BE400155;2011;Volvo b270f euro v;Mascarello granmidi;2011;260;Dianteiro;Manual;Molas;;95;;0;;100;42;17000;210;;60;65;100;822;80;120;0;2;1;0;0;0;0;4;1;1;0
HGJ1175;00971733848;Baixado;RIT: 3 - Célula: 5 - TURILESSA LTDA;METROPOLITANO DE TRANSPORTES;5;25926;Prata;Microonibus;Metropolitano;Mini;;Convencional executivo;9bm6882778b590710;2008;Mbb lo915;Marcopolo senior midi;2008;150;Dianteiro;Manual;Molas;0;82;0;0;0;0;25;6650;250;0;2168;0;6685;0;0;0;0;1;0;1;1;0;0;4;0;0;0
HIM3970;00372623859;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69847;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BVT5T520BE400103;2011;Volvo b270f euro v;Mascarello granmidi;2011;260;Dianteiro;Manual;Molas;0;110;0;0;0;110;42;17000;210;;60;65;100;822;80;120;0;2;1;0;0;0;0;0;0;1;0
OQV3539;00574289550;Aprovado;RIT: 5 - Célula: 1 - ALCINO GONÇALVES COTTA LTDA;LINHA VERDE;1;R021;Amarela;Pesado;Metropolitano;Padron;;Comercial;9BM384078DB916132;2013;Mbb of1721 euro v;Marcopolo viaggio r;2013;208;Dianteiro;Manual;Molas;0;60;0;0;0;0;49;16000;300;0;35;0;10000;0;0;0;0;1;0;0;0;0;0;4;1;1;0
HGJ1180;00972538232;Baixado;RIT: 5 - Célula: 6 - TURILESSA LTDA;LINHA VERDE;6;25949;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM3840788B582724;2008;Mbb of1722m;Marcopolo ciferal;2008;218;Dianteiro;Manual;Molas;;100;;100;;100;41;17000;300;;60;65;100;822;80;120;0;3;1;0;0;0;0;4;1;1;0
QPT9449;01174985965;Baixado;RIT: 2 - Célula: 3 - LAGUNA AUTO ÔNIBUS LTDA;UNIMINAS;3;23095;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384067KB108972;2018;Mbb of1519 euro v;Induscar apache u;2019;208;Dianteiro;Manual;AR;0;90;0;0;0;110;39;15000;300;0;60;65;100;521;80;120;0;2;1;0;0;0;0;4;1;1;0
HEV9549;00035683914;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69848;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BVT5T525BE400159;2011;Volvo b270f euro v;Mascarello granmidi;2011;260;Dianteiro;Manual;Molas;0;100;0;0;0;100;42;17000;210;;60;65;100;822;80;120;0;2;1;0;0;0;0;3;1;1;0
QPU2180;01174863800;Baixado;RIT: 2 - Célula: 3 - LAGUNA AUTO ÔNIBUS LTDA;UNIMINAS;3;23096;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384067KB108992;2018;Mbb of1519 euro v;Induscar apache u;2019;208;Dianteiro;Manual;AR;0;90;0;0;0;110;39;15000;300;0;60;65;100;521;80;120;0;2;1;0;0;0;0;4;1;1;0
HGJ1181;00972538283;Baixado;RIT: 1 - Célula: 2 - TURILESSA LTDA;VIA AMAZONAS;2;25792;Azul;Pesado;Metropolitano;Padron;;Comercial;9BM3840788B582549;2008;Mbb of1722m;Marcopolo ciferal;2008;218;Dianteiro;Manual;Molas;;90;;90;;90;41;17000;150;;90;60;130;900;80;120;0;3;0;0;0;0;0;0;0;1;0
QPU2164;01174986759;Baixado;RIT: 2 - Célula: 3 - LAGUNA AUTO ÔNIBUS LTDA;UNIMINAS;3;23097;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384067KB108852;2018;Mbb of1519 euro v;Induscar apache u;2019;208;Dianteiro;Manual;AR;0;90;0;0;0;110;39;15000;300;0;60;65;100;521;80;120;0;2;1;0;0;0;0;4;1;1;0
HEV9547;00353678163;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69849;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BVT5T52XBE400156;2011;Volvo b270f euro v;Mascarello granmidi;2011;260;Dianteiro;Manual;Molas;0;110;0;0;0;110;42;17000;210;0;60;65;100;822;80;120;0;2;1;0;0;0;0;0;0;1;0
QPU2178;01174851748;Aprovado;RIT: 2 - Célula: 3 - LAGUNA AUTO ÔNIBUS LTDA;UNIMINAS;3;23098;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384067KB104472;2018;Mbb of1519 euro v;Induscar apache u;2019;208;Dianteiro;Manual;AR;0;90;0;0;0;110;39;15000;300;0;60;65;100;521;80;120;0;2;1;0;0;0;0;4;1;1;0
GVQ0953;00808409522;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69854;Laranja;Pesado;Metropolitano;Padron;;Comercial;9BVR6B5193E357438;2003;Volvo b7r 4x2;Marcopolo torino u;2003;260;Traseiro;Manual;AR;;110;;0;;110;43;16000;300;;60;65;120;655;80;100;0;2;0;0;0;0;0;0;0;1;0
GXH9792;00989285081;Baixado;RIT: 6 - Célula: 1 - SARITUR - SANTA RITA TRANSPORTE URBANO E RODOVIÁRIO LTDA.;ESMERALDAS NEVES;1;90379;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9bwrl82w59r900003;2008;Volkswagen 17.230eod;Marcopolo torino u;2009;225;Dianteiro;Manual;Molas;0;110;0;110;0;110;38;17000;300;0;60;65;100;822;120;80;0;3;1;0;0;0;0;4;1;1;0
HGJ1182;00972538313;Baixado;RIT: 5 - Célula: 6 - TURILESSA LTDA;LINHA VERDE;6;25950;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM3840788B582514;2008;Mbb of1722m;Marcopolo ciferal;2008;218;Dianteiro;Manual;Molas;;100;;100;;100;41;17000;150;;60;65;170;760;80;120;0;3;0;0;0;0;0;0;0;1;0
HGJ1183;00972538364;Baixado;RIT: 1 - Célula: 2 - TURILESSA LTDA;VIA AMAZONAS;2;25793;Azul;Pesado;Metropolitano;Padron;;Comercial;9BM3840788B582480;2008;Mbb of1722m;Marcopolo ciferal;2008;218;Dianteiro;Manual;Molas;0;90;0;90;0;90;41;16000;300;0;90;60;120;890;80;120;0;3;0;0;0;0;0;0;0;1;0
QPW1143;01176450333;Aprovado;RIT: 3 - Célula: 7 - VIAÇÃO SIDON LTDA;METROPOLITANO DE TRANSPORTES;7;38132;Vermelho;Medio;Metropolitano;Medio;;Convencional;9BM384067KB113722;2018;Mbb of1519 euro v;Induscar apache u;2019;185;Dianteiro;Manual;Molas;0;80;0;110;0;0;39;15000;300;0;100;55;100;521;80;120;0;2;1;0;0;0;0;3;1;1;0
QPV9987;01176453030;Aprovado;RIT: 3 - Célula: 7 - VIAÇÃO SIDON LTDA;METROPOLITANO DE TRANSPORTES;7;38133;Vermelho;Medio;Metropolitano;Medio;;Convencional;9BM384067KB113406;2018;Mbb of1519 euro v;Induscar apache u;2019;185;Dianteiro;Manual;Molas;0;80;0;110;0;0;39;15000;300;0;100;55;100;521;80;120;0;2;1;0;0;0;0;3;1;1;0
HGJ1184;00972538410;Baixado;RIT: 3 - Célula: 5 - TURILESSA LTDA;METROPOLITANO DE TRANSPORTES;5;25795;Azul;Pesado;Metropolitano;Padron;;Comercial;9BM3840788B582497;2008;Mbb of1722m;Marcopolo ciferal;2008;218;Dianteiro;Manual;Molas;0;100;0;100;0;100;41;17000;300;0;60;65;100;822;80;120;0;3;0;0;0;0;0;4;1;1;0
QPW1032;01176508005;Aprovado;RIT: 3 - Célula: 7 - VIAÇÃO SIDON LTDA;METROPOLITANO DE TRANSPORTES;7;38134;Vermelho;Medio;Metropolitano;Medio;;Comercial;9BM384067KB114096;2018;Mbb of1519 euro v;Induscar apache u;2019;185;Dianteiro;Manual;Molas;0;80;0;110;0;0;39;15000;300;0;60;65;100;521;80;120;0;2;1;0;0;0;0;3;1;1;0
HGJ1185;00972538135;Baixado;RIT: 3 - Célula: 5 - TURILESSA LTDA;METROPOLITANO DE TRANSPORTES;5;25798;Azul;Pesado;Metropolitano;Padron;;Comercial;9BM3840788B582534;2008;Mbb of1722m;Marcopolo ciferal;2008;218;Dianteiro;Manual;Molas;;100;;100;;100;41;16000;300;;60;65;170;760;80;120;0;3;0;0;0;0;0;0;0;1;0
HBQ7915;00343601478;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69838;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BVT5T521BE400143;2011;Volvo b270f euro v;Mascarello gran via;2011;260;Dianteiro;Manual;Molas;;90;;0;;97;42;17000;210;;90;90;180;760;80;120;0;2;1;0;0;0;0;0;0;1;0
QPV9774;01176633136;Aprovado;RIT: 3 - Célula: 7 - VIAÇÃO SIDON LTDA;METROPOLITANO DE TRANSPORTES;7;38135;Vermelho;Medio;Metropolitano;Medio;;Convencional;9BM384067KB113996;2018;Mbb of1519 euro v;Induscar apache u;2019;185;Dianteiro;Manual;Molas;0;80;0;110;0;0;39;15000;300;0;100;55;100;521;80;120;0;2;1;0;0;0;0;3;1;1;0
QPV9727;01176633098;Aprovado;RIT: 3 - Célula: 7 - VIAÇÃO SIDON LTDA;METROPOLITANO DE TRANSPORTES;7;38136;Vermelho;Medio;Metropolitano;Medio;;Convencional;9BM384067KB113992;2018;Mbb of1519 euro v;Induscar apache u;2019;185;Dianteiro;Manual;Molas;0;80;0;110;0;0;39;15000;300;0;100;55;100;521;80;120;0;2;1;0;0;0;0;3;1;1;0
HGJ7433;00940749726;Baixado;RIT: 7 - Célula: 1 - EMPRESA SÃO GONÇALO LTDA;CIDADE INDUSTRIAL;1;10241;Azul;Leve;Metropolitano;Midi;;Comercial;9BM3840678B557834;2007;Mbb of1418;Neobus spectrum city;2008;177;Dianteiro;Manual;Molas;;70;;0;;110;37;14000;210;;105;65;70;640;85;80;0;2;1;0;0;0;0;3;1;1;0
QPV9822;01176633208;Aprovado;RIT: 3 - Célula: 7 - VIAÇÃO SIDON LTDA;METROPOLITANO DE TRANSPORTES;7;38137;Vermelho;Medio;Metropolitano;Medio;;Convencional;9BM384067KB113973;2018;Mbb of1519 euro v;Induscar apache u;2019;185;Dianteiro;Manual;Molas;0;80;0;110;0;0;39;15000;300;0;100;55;100;521;76;125;0;2;1;0;0;0;0;3;1;1;0
HGJ1156;00968916457;Baixado;RIT: 5 - Célula: 4 - S&M TRANSPORTES S/A (TURILESSA);LINHA VERDE;4;50075;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM3840788B585096;2008;Mbb of1722m;Ciferal citmax u;2008;218;Dianteiro;Manual;Molas;00;100;00;0;00;100;45;16000;300;00;60;65;100;822;85;120;0;2;0;0;0;0;0;3;1;1;0
HDI8485;00346345022;Baixado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69859;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BVT5T520BE400151;2011;Volvo b270f euro v;Mascarello granmidi;2011;260;Dianteiro;Manual;Molas;0;110;0;0;0;110;42;17000;210;0;60;65;100;822;80;120;0;2;1;0;0;0;0;4;1;1;0
QPV9914;01176633365;Aprovado;RIT: 3 - Célula: 7 - VIAÇÃO SIDON LTDA;METROPOLITANO DE TRANSPORTES;7;38138;Vermelho;Medio;Metropolitano;Medio;;Convencional;9BM384067KB113726;2018;Mbb of1519 euro v;Induscar apache u;2019;185;Dianteiro;Manual;Molas;0;80;0;110;0;0;39;15000;300;0;100;55;100;521;80;120;0;2;1;0;0;0;0;3;1;1;0
